time	current	voltage
2916	-29.810273	-34.1389267508
2917	26.735606	-32.6352645761
2918	9.5558818	-30.8755481233
2919	-23.607565	-28.8193639387
2920	-57.340861	-26.3753874624
2921	14.844811	-23.2019758603
2922	-20.73028	-19.2688169569
2923	95.575107	-13.9614852363
2924	93.424524	-6.92199634969
2925	85.111612	2.75161379099
2926	25.185058	16.594584497
2927	-13.833509	37.7993960325
2928	-14.494764	-46.996383407
2929	-99.054752	-47.3951920918
2930	-107.53558	-47.8135833473
2931	-87.884145	-48.1953232891
2932	-127.73396	-48.6590433655
2933	-57.960388	-48.9859329378
2934	-36.807299	-49.2722329791
2935	-40.944006	-49.5682060903
2936	-32.834684	-49.8493626169
2937	-104.99937	-50.2761090492
2938	-111.0786	-50.7170042697
2939	-113.8984	-51.1654739291
2940	-115.13237	-51.6182465725
2941	-94.728279	-52.0319246414
2942	-62.696624	-52.382953151
2943	-52.624893	-52.7148986065
2944	-55.181667	-53.0528666568
2945	-79.646331	-53.4406179204
2946	-67.03061	-53.8040636708
2947	-50.244588	-54.1346933679
2948	21.953173	-54.3215116081
2949	66.132628	-54.4201506678
2950	51.21115	-54.5485931926
2951	31.139333	-54.7172009848
2952	-16.29481	-54.9807730385
2953	-77.855111	-55.3677246498
2954	-15.920441	-55.6312198852
2955	49.08535	-55.7648474037
2956	21.968941	-55.9526444756
2957	125.14408	-55.9340813014
2958	60.566708	-56.0444166466
2959	105.66239	-56.0644508811
2960	71.102401	-56.1533959463
2961	67.100908	-56.250206994
2962	4.8471114	-56.4713926722
2963	59.4696	-56.583297194
2964	70.241449	-56.6735194341
2965	6.7127841	-56.8906406765
2966	16.351214	-57.0883873505
2967	-4.1145276	-57.3269310833
2968	6.1161955	-57.5448600861
2969	-90.905532	-57.9566420861
2970	-93.801852	-58.3739461631
2971	-153.62157	-58.9104970341
2972	-137.87439	-59.4149220008
2973	-167.55174	-59.9779111042
2974	-162.69393	-60.5301092871
2975	-149.60962	-61.0548620746
2976	-51.895704	-61.3827650981
2977	-18.807658	-61.6434479548
2978	-50.429333	-61.9664610222
2979	-2.9741956	-62.1934020852
2980	17.431312	-62.3786315376
2981	44.915653	-62.5081066723
2982	44.851418	-62.6371076758
2983	23.566781	-62.8080668162
2984	-32.4116	-63.0901988824
2985	6.5386037	-63.2931770412
2986	-36.512972	-63.5812882379
2987	-6.0726487	-63.8071445477
2988	-56.105229	-64.1319235755
2989	-46.304822	-64.4354477014
2990	-101.77794	-64.8482987156
2991	-79.161964	-65.2136501173
2992	-115.92316	-65.6504053935
2993	-170.39647	-66.1934703488
2994	-220.40484	-66.8331067123
2995	-214.27063	-67.4561615617
2996	-215.27222	-68.0767344778
2997	-204.81314	-68.6716453005
2998	-209.02419	-69.2701688805
2999	-179.82236	-69.8051948948
3000	-56.977686	-70.0897556927
3001	-85.391166	-70.4284991749
3002	-40.605628	-70.6744578387
3003	-56.576992	-70.9499644733
3004	-46.440004	-71.2024689933
3005	5.4165746	-71.3487104759
3006	1.5705843	-71.5011332764
3007	20.017251	-71.615073943
3008	-3.4004355	-71.774644265
3009	17.640832	-71.8904403537
3010	31.575052	-71.9771216224
3011	-14.166145	-72.1543392527
3012	38.061429	-72.225180101
3013	25.823079	-72.3197076808
3014	34.625578	-72.395579371
3015	43.256882	-72.453335379
3016	-7.8079083	-72.612562683
3017	-61.28794	-72.8769679207
3018	-27.253975	-73.0703230007
3019	-41.231779	-73.2894159492
3020	-49.859124	-73.5232219037
3021	-79.000838	-73.8125631711
3022	-63.640093	-74.0677329644
3023	-21.466236	-74.2354618982
3024	15.465909	-74.3272642131
3025	-8.956666	-74.466769332
3026	-0.61077937	-74.587841234
3027	-48.509378	-74.8031865417
3028	-45.729942	-75.0102451701
3029	-16.254778	-75.1556996461
3030	47.328708	-75.1721027903
3031	13.016431	-75.2569109301
3032	39.197565	-75.2882466481
3033	-9.7307303	-75.417022558
3034	-73.100444	-75.6708425278
3035	-100.14504	-75.9753830302
3036	-81.775484	-76.2390836573
3037	-95.051173	-76.5257314925
3038	-60.94491	-76.7401933496
3039	-57.519355	-76.9447936712
3040	-70.938937	-77.173331079
3041	-39.866119	-77.3364458795
3042	-17.555268	-77.4525791034
3043	-35.146983	-77.6022058194
3044	1.0547148	-77.6772357641
3045	-15.658708	-77.7845899474
3046	-1.9550903	-77.8629490269
3047	-21.171084	-77.9785774378
3048	-59.489244	-78.1691151109
3049	-48.6801	-78.3351635245
3050	11.441104	-78.3784475834
3051	-2.9263013	-78.4498115932
3052	48.525644	-78.4171833197
3053	15.617193	-78.4508798152
3054	1.8274136	-78.511643184
3055	23.120806	-78.5288883276
3056	-79.238201	-78.750589173
3057	-73.814912	-78.958006558
3058	-12.562915	-79.0396733521
3059	-30.818558	-79.1565681528
3060	-42.392856	-79.2947636294
3061	-34.665023	-79.4153050589
3062	-114.07249	-79.6927334521
3063	-101.54048	-79.9406129882
3064	-54.369351	-80.0900978463
3065	-28.682516	-80.1857480076
3066	-44.476193	-80.3114059447
3067	-35.26179	-80.4165465155
3068	-3.5239613	-80.4564566762
3069	5.8973074	-80.4768619731
3070	-2.0649404	-80.5128565025
3071	61.476177	-80.4211689533
3072	84.319116	-80.2853478602
3073	48.712223	-80.2230231646
3074	-27.243253	-80.3136519165
3075	-58.232808	-80.4647449985
3076	-12.336762	-80.5215072171
3077	-16.770001	-80.5861780574
3078	-54.703691	-80.725621505
3079	-93.906403	-80.9410994834
3080	-99.933072	-81.1649399602
3081	-148.95639	-81.4829581537
3082	-74.703573	-81.6469117701
3083	-53.146661	-81.7648599868
3084	-63.285142	-81.9009945708
3085	-110.26967	-82.1286718548
3086	-145.5287	-82.4227757281
3087	-134.21491	-82.6889102409
3088	-151.00188	-82.9837328288
3089	-96.491381	-83.164061912
3090	-77.636795	-83.3033090796
3091	-84.729736	-83.4541248708
3092	-39.999045	-83.5126276165
3093	-61.086055	-83.6122020416
3094	-9.3042264	-83.6063206001
3095	40.231181	-83.5014934461
3096	31.53697	-83.4160703186
3097	24.038974	-83.3472791202
3098	-10.171435	-83.3482215052
3099	12.672542	-83.3034618055
3100	56.822292	-83.1712535046
3101	43.995173	-83.0671976176
3102	28.969415	-82.9951477189
3103	38.609169	-82.9051637774
3104	-14.568962	-82.9232102013
3105	19.581014	-82.8726109075
3106	133.9463	-82.5942141799
3107	159.0121	-82.2708302015
3108	207.32066	-81.8567308233
3109	163.31264	-81.5380923241
3110	128.27705	-81.2951571402
3111	100.06709	-81.112874696
3112	117.94979	-80.8979627226
3113	147.69144	-80.6272366268
3114	65.874536	-80.5247247737
3115	111.34955	-80.3329532226
3116	103.60142	-80.1598572994
3117	162.45427	-79.871894548
3118	177.12568	-79.5592939973
3119	229.19215	-79.1475996796
3120	264.20924	-78.6724122714
3121	273.36006	-78.1863225271
3122	302.43708	-77.6494717126
3123	208.80448	-77.3078509903
3124	191.19816	-77.0063655336
3125	251.70378	-76.5881274882
3126	213.14519	-76.2528351777
3127	204.68596	-75.9390173668
3128	202.35534	-75.6340397709
3129	223.62341	-75.2905112711
3130	183.69464	-75.0312574022
3131	157.01943	-74.8285987769
3132	122.07635	-74.6983002616
3133	146.67824	-74.5203281379
3134	103.03374	-74.4317574517
3135	55.377462	-74.4394786639
3136	20.374313	-74.5169852864
3137	10.66866	-74.6128128114
3138	1.3352704	-74.725983295
3139	-13.850616	-74.8679770075
3140	-70.348891	-75.1210436024
3141	-78.597333	-75.3872385531
3142	-53.851621	-75.6003571432
3143	-27.54518	-75.7579348927
3144	-15.444499	-75.8890976036
3145	95.29967	-75.796898477
3146	135.13227	-75.6261667444
3147	110.49087	-75.5068898239
3148	110.55661	-75.3889510053
3149	115.3206	-75.2629243069
3150	87.031014	-75.1950106751
3151	108.94692	-75.0840326078
3152	123.04919	-74.9461695111
3153	135.74065	-74.7845770935
3154	122.14079	-74.6521236029
3155	140.82196	-74.4838595133
3156	70.376074	-74.4584713058
3157	132.0705	-74.3098852517
3158	97.038325	-74.2330790159
3159	113.30772	-74.1245521641
3160	58.18502	-74.1274710649
3161	15.21321	-74.2161689835
3162	8.8000576	-74.3164792886
3163	60.386004	-74.3122558805
3164	32.935384	-74.3628593188
3165	50.476351	-74.3776291469
3166	17.807102	-74.4574288211
3167	45.653345	-74.4804198244
3168	18.790947	-74.5567247582
3169	45.539762	-74.5784549012
3170	23.01754	-74.6448339987
3171	14.074082	-74.7281434906
3172	-23.923119	-74.8862745047
3173	28.94207	-74.9365456388
3174	12.859751	-75.0182197052
3175	22.328435	-75.0797901035
3176	27.201044	-75.1307045057
3177	7.2570155	-75.2207319993
3178	-4.3171339	-75.3326234371
3179	42.568342	-75.3491686907
3180	79.089086	-75.2923414512
3181	141.75702	-75.11080722
3182	106.82444	-75.0013812345
3183	80.321602	-74.9462535447
3184	46.159942	-74.9600376842
3185	69.286866	-74.9272724554
3186	47.115416	-74.9391507015
3187	49.250894	-74.9464868454
3188	-43.454532	-75.1390208923
3189	-54.643222	-75.3513348925
3190	-49.492067	-75.5504651783
3191	-75.342854	-75.7985596335
3192	-64.260069	-76.0210676173
3193	-91.8731	-76.2956863248
3194	-83.114414	-76.5489206358
3195	-99.779039	-76.8318639034
3196	-115.4441	-77.1420514852
3197	-47.609892	-77.312036646
3198	-29.536193	-77.4433187659
3199	-28.636514	-77.5707933525
3200	-24.465136	-77.6879616577
3201	-22.480153	-77.7993384316
3202	-31.830774	-77.9276721207
3203	62.934135	-77.8644693972
3204	81.650744	-77.764691945
3205	66.710978	-77.6961929393
3206	92.042637	-77.5779574959
3207	84.523686	-77.4764160518
3208	71.278141	-77.402765227
3209	56.206294	-77.3602415075
3210	86.275238	-77.2581048873
3211	27.636194	-77.2746349551
3212	15.092133	-77.3159157253
3213	76.943998	-77.2327953859
3214	40.312652	-77.224046525
3215	-7.719831	-77.3113906563
3216	11.494404	-77.3589402441
3217	64.330469	-77.3000273499
3218	-10.98714	-77.392509116
3219	-30.562877	-77.5226965913
3220	37.498987	-77.5147555875
3221	7.4472447	-77.5669380268
3222	-15.043883	-77.6632381935
3223	-47.549939	-77.8230321762
3224	-91.168545	-78.0675935927
3225	-100.65463	-78.327363332
3226	-64.064832	-78.5099158428
3227	-22.51409	-78.6064751742
3228	-5.9150413	-78.6682567641
3229	50.574361	-78.6160145437
3230	93.888902	-78.4778676075
3231	14.871084	-78.4998029827
3232	43.909392	-78.463234685
3233	27.744881	-78.4594692503
3234	-28.979878	-78.5691212433
3235	-18.655511	-78.6563429912
3236	10.762919	-78.6832869217
3237	-13.471206	-78.7581916722
3238	-32.815926	-78.8705304331
3239	-19.33468	-78.9540610517
3240	9.2595826	-78.9790030641
3241	-3.1722075	-79.0283288875
3242	9.246118	-79.0519526972
3243	58.043523	-78.9775215229
3244	46.893083	-78.9264796932
3245	38.604319	-78.892730955
3246	1.7337188	-78.9331647192
3247	-28.192976	-79.0327267122
3248	24.41401	-79.0254153498
3249	-34.432923	-79.1358245628
3250	11.960858	-79.1516082386
3251	41.435848	-79.1081028714
3252	70.504865	-79.007061582
3253	11.872806	-79.0247936652
3254	-15.238826	-79.0963781133
3255	-16.654182	-79.1695695101
3256	-1.603631	-79.2114072079
3257	-14.422634	-79.2781268477
3258	48.196944	-79.2184526389
3259	7.6938677	-79.2406475921
3260	-7.62268	-79.293031148
3261	35.189851	-79.2588621806
3262	147.08108	-79.0013664833
3263	128.36667	-78.7852962246
3264	98.139321	-78.632978794
3265	108.84532	-78.461523131
3266	107.55082	-78.2952057325
3267	123.84263	-78.0987517668
3268	21.999522	-78.1088645453
3269	-35.892603	-78.2345026912
3270	-45.182977	-78.3767095121
3271	-66.321518	-78.5589172602
3272	-34.573487	-78.6747217413
3273	-3.4714397	-78.7264259788
3274	-17.590403	-78.805463336
3275	-37.149754	-78.9222858631
3276	-56.322089	-79.0755220621
3277	-49.804781	-79.2132075979
3278	-45.543892	-79.3400874608
3279	-34.758601	-79.4432734712
3280	-45.770347	-79.5667308337
3281	-54.65977	-79.705879803
3282	-30.623337	-79.7946029228
3283	-1.7147858	-79.823969049
3284	-12.619715	-79.8745738616
3285	-23.893205	-79.9468052238
3286	41.99383	-79.8859843123
3287	85.35109	-79.7393598727
3288	57.045804	-79.6516564412
3289	99.614771	-79.4801510323
3290	73.669506	-79.3632195984
3291	61.773438	-79.2718652586
3292	113.06664	-79.0792893466
3293	90.325918	-78.9351591301
3294	14.276372	-78.9453012864
3295	23.813536	-78.936105883
3296	-2.8518189	-78.9802821552
3297	-1.98979	-79.0219346123
3298	11.557006	-79.0357324576
3299	68.980443	-78.9343619492
3300	45.305953	-78.8818353482
3301	43.644235	-78.8333525848
3302	43.815081	-78.7851824019
3303	-10.480353	-78.8462500106
3304	2.1637717	-78.8809668806
3305	3.8179568	-78.9117244326
3306	50.211658	-78.8491051977
3307	28.396171	-78.83099331
3308	57.048533	-78.7557532527
3309	97.64136	-78.6003958737
3310	80.761457	-78.4811044907
3311	188.18799	-78.1486916988
3312	218.17905	-77.7612628335
3313	220.50382	-77.3748845719
3314	185.5143	-77.0640554213
3315	140.72827	-76.847171716
3316	150.2908	-76.6141312391
3317	124.15822	-76.4365139801
3318	118.51711	-76.2725254827
3319	77.260802	-76.1931833879
3320	6.1298617	-76.2570569529
3321	36.817983	-76.2585389045
3322	-20.822675	-76.3751450246
3323	-2.9457533	-76.4542505741
3324	-5.5723445	-76.5373762377
3325	-35.02257	-76.6781095966
3326	-67.053603	-76.8807987412
3327	-33.857902	-77.0140976281
3328	3.58072	-77.0704881721
3329	52.908074	-77.0272882216
3330	-23.990769	-77.1383793746
3331	49.681518	-77.1004026663
3332	37.64528	-77.0869198028
3333	30.40438	-77.0879868128
3334	-5.1552663	-77.1600318881
3335	53.546085	-77.1135108935
3336	45.981961	-77.0826636344
3337	33.287994	-77.0775225723
3338	-3.1112061	-77.1451280969
3339	-10.405336	-77.2262232129
3340	-22.203507	-77.3296182719
3341	-16.537271	-77.4200562804
3342	46.786455	-77.3824051197
3343	-48.442489	-77.5356402022
3344	-27.074335	-77.6437725093
3345	10.97762	-77.6740864895
3346	26.56286	-77.6726625963
3347	50.223155	-77.6238206201
3348	141.59962	-77.3928293193
3349	178.19243	-77.0919250542
3350	185.77951	-76.7800844492
3351	67.744271	-76.708637007
3352	110.19439	-76.5531696295
3353	122.37149	-76.3754012766
3354	124.38018	-76.195958444
3355	145.69189	-75.9762329602
3356	82.33467	-75.8860839109
3357	71.469018	-75.8187482543
3358	48.014991	-75.7990894667
3359	-22.703515	-75.92099324
3360	-5.1864558	-76.0060818948
3361	64.796438	-75.9499149388
3362	55.443982	-75.9130787537
3363	49.369182	-75.8887542086
3364	88.119956	-75.7871201692
3365	85.002954	-75.6929513445
3366	97.053202	-75.575805056
3367	192.25798	-75.2696698557
3368	80.584267	-75.1907689887
3369	61.79634	-75.1503278942
3370	12.110961	-75.2096387077
3371	20.788974	-75.2506806129
3372	83.02539	-75.1665732889
3373	62.57218	-75.1243236783
3374	75.867923	-75.055887309
3375	-2.0594385	-75.1440464943
3376	-49.556227	-75.3259176829
3377	-23.028169	-75.4522241817
3378	-41.60624	-75.6138894538
3379	11.83475	-75.6663958326
3380	12.450265	-75.716836739
3381	-2.3389738	-75.7960480979
3382	-70.091869	-76.0095701784
3383	-73.328951	-76.226550151
3384	-68.083689	-76.4299449737
3385	2.736734	-76.4887611923
3386	-25.576464	-76.6032605048
3387	-62.582142	-76.7900466366
3388	-12.053101	-76.8730205527
3389	-31.006422	-76.9926034556
3390	-57.804414	-77.1639574514
3391	-44.211516	-77.3055455696
3392	-57.259804	-77.4710635889
3393	-76.602048	-77.6727358241
3394	-26.629729	-77.7713801609
3395	2.8206681	-77.8095495024
3396	27.971709	-77.7967392221
3397	16.487347	-77.8069797623
3398	-35.925569	-77.9217845705
3399	-76.740469	-78.1163944643
3400	-83.350156	-78.321185455
3401	-39.141314	-78.4343392892
3402	-54.430849	-78.5762351539
3403	-70.845013	-78.7486697978
3404	-47.096203	-78.8708280747
3405	-46.754932	-78.9902945347
3406	0.59577687	-79.0130830285
3407	-29.270311	-79.0951477249
3408	-47.785915	-79.2128491466
3409	-150.04798	-79.5331085816
3410	-124.46399	-79.7969644123
3411	-131.70307	-80.0709150899
3412	-168.60332	-80.4140673909
3413	-194.10874	-80.8024173133
3414	-157.99117	-81.1118637272
3415	-125.96113	-81.351844723
3416	-60.343018	-81.4563348384
3417	-34.279535	-81.5067924658
3418	11.668542	-81.4643942685
3419	60.169196	-81.3256697528
3420	42.110781	-81.2254226711
3421	74.715277	-81.0616415048
3422	19.443363	-81.0111702995
3423	35.23201	-80.9299153043
3424	-2.842989	-80.926130679
3425	7.0454945	-80.9025534548
3426	-14.661572	-80.9227144044
3427	-54.146304	-81.0214165747
3428	-69.671405	-81.14938659
3429	-68.628407	-81.2729741353
3430	-46.934548	-81.3509430167
3431	-31.493506	-81.3965880315
3432	29.623936	-81.3191197261
3433	41.23851	-81.2197003221
3434	11.910567	-81.180591476
3435	42.07601	-81.0817506967
3436	47.184498	-80.9743251018
3437	123.17357	-80.716692774
3438	118.89464	-80.471947481
3439	109.15069	-80.2507499961
3440	110.01692	-80.0314398553
3441	99.807283	-79.8360988387
3442	82.668407	-79.6781546188
3443	169.41674	-79.3491940931
3444	162.86215	-79.0385559143
3445	134.14117	-78.7901999426
3446	130.93418	-78.5520518999
3447	161.54487	-78.2562705261
3448	131.90394	-78.0241937899
3449	51.660295	-77.9560013979
3450	8.6791925	-77.9746756189
3451	38.316999	-77.9336719879
3452	28.982201	-77.911831986
3453	65.643038	-77.8168757661
3454	30.943514	-77.7926156741
3455	100.01144	-77.6304581639
3456	94.351853	-77.4819018417
3457	82.12173	-77.3598673144
3458	28.065808	-77.3476020909
3459	60.644355	-77.2702305844
3460	16.644298	-77.2818560727
3461	34.359864	-77.2577530749
3462	52.868716	-77.1968537302
3463	40.333521	-77.1617779708
3464	14.240686	-77.1792654419
3465	56.519434	-77.1118137278
3466	45.467597	-77.0673092803
3467	61.241687	-76.9917669694
3468	59.264464	-76.9211319591
3469	-14.68237	-76.9992686594
3470	56.820251	-76.9331530971
3471	45.920343	-76.8896518031
3472	59.648961	-76.8191823419
3473	60.568345	-76.7477440954
3474	113.87639	-76.5705691672
3475	72.624996	-76.4782559635
3476	87.361876	-76.3576238216
3477	69.93287	-76.2733896202
3478	10.838156	-76.3083719918
3479	26.397776	-76.3116160921
3480	14.588355	-76.3382982844
3481	74.308053	-76.2450368065
3482	75.76471	-76.1500130014
3483	112.81503	-75.982056463
3484	174.09006	-75.6937014399
3485	167.37198	-75.4225245475
3486	159.76075	-75.1700221953
3487	145.86027	-74.9484740871
3488	159.16427	-74.7030259343
3489	165.24986	-74.4483782743
3490	250.38339	-74.0265030301
3491	227.23075	-73.6559606028
3492	255.6465	-73.2328715945
3493	244.52435	-72.8368148418
3494	216.60783	-72.5009394267
3495	191.27276	-72.2193023062
3496	165.03916	-71.9930298644
3497	179.13729	-71.740810307
3498	182.55115	-71.4842440605
3499	126.66994	-71.3419170243
3500	169.91304	-71.1143748109
3501	197.05937	-70.8346490426
3502	119.93506	-70.7117526733
3503	46.117678	-70.7375010872
3504	50.98463	-70.753078655
3505	29.931601	-70.8104249693
3506	63.291966	-70.8003069272
3507	58.002539	-70.8006831558
3508	7.7812312	-70.9013157396
3509	32.715119	-70.9509132101
3510	62.238635	-70.9407954329
3511	86.775439	-70.8815255427
3512	55.558415	-70.8850952247
3513	61.361223	-70.8768467896
3514	114.16788	-70.7628894183
3515	115.32327	-70.647558914
3516	120.12375	-70.5235683089
3517	166.0676	-70.3087033568
3518	221.98198	-69.9838679947
3519	233.35125	-69.6391283894
3520	206.92407	-69.3501744575
3521	173.39392	-69.1306380588
3522	188.64858	-68.8822954673
3523	164.4803	-68.6841964023
3524	131.00506	-68.5544964202
3525	67.464606	-68.5527430412
3526	62.878461	-68.5599836852
3527	135.17499	-68.422381096
3528	80.463308	-68.3951207402
3529	55.48245	-68.4178492972
3530	6.308478	-68.5385538201
3531	-4.2999994	-68.679314562
3532	-33.172026	-68.8764860255
3533	-39.644305	-69.0847872495
3534	-98.102017	-69.4080692519
3535	-150.82922	-69.8338430346
3536	-146.8917	-70.2477835992
3537	-110.94087	-70.5858476187
3538	-140.59332	-70.979851829
3539	-98.657936	-71.2859891949
3540	-36.149602	-71.4638964904
3541	-35.126308	-71.6377987699
3542	-12.114365	-71.7637396577
3543	18.047245	-71.8279028982
3544	57.697436	-71.8119524433
3545	107.36664	-71.6966920387
3546	63.908444	-71.6694145818
3547	56.561771	-71.6569746803
3548	-18.255342	-71.7941588402
3549	-51.742215	-71.9967459607
3550	-73.576645	-72.2407253762
3551	-15.238187	-72.3652769495
3552	-10.418994	-72.4787065055
3553	10.032814	-72.5498615415
3554	49.490749	-72.5411895051
3555	60.617945	-72.510232634
3556	98.67895	-72.4033691307
3557	68.632413	-72.3576454986
3558	102.51878	-72.2445215925
3559	78.672226	-72.1801923634
3560	4.565911	-72.2646423607
3561	24.028897	-72.309126089
3562	-24.082478	-72.4492232311
3563	-75.559112	-72.6906184195
3564	-89.180516	-72.9564635352
3565	-79.312675	-73.1994633615
3566	-79.802287	-73.4405476198
3567	-56.849177	-73.6328129793
3568	-29.371975	-73.7677503499
3569	-74.211198	-73.9906533595
3570	-46.494212	-74.1553364063
3571	-20.018181	-74.2649604004
3572	-31.479317	-74.3960602237
3573	21.347283	-74.419786877
3574	40.288104	-74.4052382196
3575	3.2329393	-74.4648815081
3576	-31.373936	-74.5928983815
3577	52.845399	-74.5507787274
3578	27.935138	-74.5589105562
3579	-8.7084729	-74.640130756
3580	13.497313	-74.6758233705
3581	-27.665816	-74.7932969523
3582	-54.699846	-74.9632575236
3583	-70.287471	-75.162131961
3584	-126.3847	-75.4705458145
3585	-94.294196	-75.7106567709
3586	-60.226435	-75.8793584587
3587	-47.644679	-76.0205482448
3588	-68.032992	-76.2005214166
3589	-60.463275	-76.3628171153
3590	-37.202553	-76.4762763055
3591	15.724096	-76.4822304739
3592	86.15008	-76.3471744451
3593	100.12392	-76.1859699869
3594	76.292197	-76.0745719289
3595	55.277192	-76.0066477705
3596	44.266617	-75.9615884206
3597	-28.433567	-76.0624592488
3598	-34.18736	-76.1733853548
3599	-106.86096	-76.4280621914
3600	-49.043866	-76.5635113444
3601	1.4586021	-76.5959904245
3602	31.206828	-76.5684427286
3603	-7.2529956	-76.6181250947
3604	-66.78182	-76.7860931438
3605	-91.123085	-77.0003013588
3606	-25.138121	-77.0794173789
3607	-34.188929	-77.175429122
3608	0.83738137	-77.1999345927
3609	38.392138	-77.1489066707
3610	42.629824	-77.0900703771
3611	58.478464	-77.0003133566
3612	56.028855	-76.916671516
3613	93.644792	-76.758919484
3614	74.563125	-76.641495616
3615	106.98831	-76.4608000423
3616	93.053566	-76.3104228434
3617	136.04149	-76.076074312
3618	121.15618	-75.8746297358
3619	119.02171	-75.6801010403
3620	91.752543	-75.5426331926
3621	93.773971	-75.4028606497
3622	70.614706	-75.3111596084
3623	-6.7649301	-75.3753274186
3624	11.939807	-75.4011524972
3625	32.746254	-75.3849333846
3626	31.412614	-75.3715025328
3627	9.4580692	-75.4020648328
3628	32.978755	-75.3850923451
3629	29.738627	-75.3747310807
3630	27.566632	-75.3687576904
3631	13.768187	-75.3903673751
3632	45.338919	-75.3484598779
3633	-3.4774882	-75.4046428033
3634	51.237361	-75.3505666504
3635	61.861449	-75.2758600427
3636	49.086683	-75.2275872083
3637	101.19111	-75.0756412279
3638	42.547346	-75.0428572852
3639	-5.9767822	-75.1074487064
3640	-29.362201	-75.2178823297
3641	44.841315	-75.1783827881
3642	36.389158	-75.1562070627
3643	78.546886	-75.0499094941
3644	12.766183	-75.0764523158
3645	-2.0120755	-75.1321143339
3646	16.294006	-75.1503502792
3647	-47.145551	-75.2951351122
3648	-102.71353	-75.549079077
3649	-91.594824	-75.7773537136
3650	-61.691388	-75.942689677
3651	4.3525303	-75.9736236093
3652	-50.102027	-76.1129629204
3653	-119.9616	-76.3900408662
3654	-31.555969	-76.4864119058
3655	-40.724477	-76.5997008574
3656	-10.257152	-76.6503932159
3657	-28.671155	-76.7371245469
3658	-28.697458	-76.8226097233
3659	-24.940348	-76.8992949301
3660	-21.951433	-76.9688373396
3661	-15.525244	-77.0244608869
3662	42.555464	-76.963053128
3663	45.12335	-76.8973145271
3664	-36.163192	-76.9950119547
3665	-61.015821	-77.1409450704
3666	-67.516677	-77.2977098769
3667	-35.052198	-77.387204243
3668	6.3403683	-77.3925390228
3669	-94.569723	-77.5995457005
3670	-128.57555	-77.8714557068
3671	-147.52437	-78.1771569344
3672	-164.78827	-78.5127157648
3673	-195.91573	-78.9053338004
3674	-198.42943	-79.2968091726
3675	-143.99729	-79.5731594226
3676	-200.47187	-79.9579594559
3677	-260.04345	-80.4555666637
3678	-279.85175	-80.9844537288
3679	-277.47173	-81.4995285299
3680	-249.02574	-81.9487025427
3681	-226.92708	-82.3456650231
3682	-153.08026	-82.5877290765
3683	-105.64031	-82.7304576723
3684	-95.230703	-82.8497136748
3685	-148.58791	-83.0734535164
3686	-102.43207	-83.2006839218
3687	-130.78683	-83.3822150755
3688	-136.38283	-83.5714876461
3689	-137.81168	-83.7599962133
3690	-60.955602	-83.7911606163
3691	-86.767641	-83.873337802
3692	-89.872797	-83.9601261455
3693	-127.43049	-84.120336232
3694	-69.380695	-84.1613149439
3695	-58.033503	-84.1787881377
3696	-126.4549	-84.3327517998
3697	-74.170004	-84.3791109062
3698	-58.504661	-84.3932152845
3699	-85.519877	-84.4610611675
3700	-68.505726	-84.4935263986
3701	-21.138624	-84.4306030339
3702	19.311089	-84.2880134871
3703	-27.350959	-84.24154554
3704	-19.562814	-84.1803979435
3705	-29.820693	-84.1409473053
3706	-13.037699	-84.0686834428
3707	57.647882	-83.8564390481
3708	58.228493	-83.6471338358
3709	8.5343014	-83.541224656
3710	9.2275048	-83.4359288922
3711	91.024752	-83.1690165651
3712	147.50431	-82.7941676203
3713	52.890178	-82.6155215624
3714	74.561769	-82.3967959478
3715	17.914584	-82.2953352244
3716	-9.6841832	-82.2508751884
3717	7.8561579	-82.1720939989
3718	-18.419557	-82.1472432181
3719	1.3644727	-82.0832227807
3720	-62.80158	-82.1486389262
3721	-43.565955	-82.1743484438
3722	-38.28611	-82.1889796955
3723	-36.84234	-82.2004049359
3724	-56.999651	-82.2518839624
3725	-66.733461	-82.3218422106
3726	-100.2954	-82.4575975349
3727	-123.01995	-82.6362681305
3728	-116.80361	-82.7991686205
3729	-89.046941	-82.9034893663
3730	-30.982358	-82.8896899341
3731	-18.141385	-82.8504166225
3732	33.640127	-82.7082617324
3733	3.9799516	-82.6280139956
3734	-9.4965083	-82.5761485601
3735	-32.054669	-82.5703005516
3736	-32.800556	-82.5659963308
3737	-31.527566	-82.559169154
3738	-10.707375	-82.5107704741
3739	27.995572	-82.3857979793
3740	66.470467	-82.1861058742
3741	49.660369	-82.0236066975
3742	7.9531204	-81.9473937591
3743	37.72529	-81.8129409556
3744	108.12075	-81.5400367278
3745	58.976144	-81.3701960084
3746	85.868398	-81.1494851046
3747	22.987075	-81.0583116748
3748	-3.1425234	-81.0208999877
3749	-47.677289	-81.0731259038
3750	-51.141934	-81.1312995203
3751	-81.519228	-81.2491413399
3752	-125.62783	-81.4530731295
3753	-93.882238	-81.5898665727
3754	-84.559969	-81.7055286027
3755	-52.874742	-81.7556964322
3756	-16.284018	-81.7317178497
3757	-47.311077	-81.770147594
3758	-42.654911	-81.7985078941
3759	-33.763733	-81.8085073912
3760	0.037600844	-81.7506529113
3761	-48.438893	-81.7907092977
3762	-82.388782	-81.8978777737
3763	-42.047894	-81.9223755928
3764	-63.368856	-81.9890033804
3765	-25.678275	-81.9789809545
